Model,VIN (1-10),County,City,2020 GEOID,State,Vehicle Location
CX-90,JM3KKBHA4S,Kitsap,Poulsbo,53035090202,WA,POINT (-122.64681 47.73689)
BZ4X,JTMABACA1S,Yakima,Yakima,53077000800,WA,POINT (-120.51904 46.59782)
MODEL 3,5YJ3E1EB0L,Thurston,Yelm,53067012412,WA,POINT (-122.60735 46.94239)
MODEL 3,5YJ3E1EBXK,King,Seattle,53033004302,WA,POINT (-122.31307 47.66127)
530E,WBAJB1C56J,Snohomish,Lake Stevens,53061052604,WA,POINT (-122.06402 48.01497)
LEAF,1N4AZ0CP7F,Kitsap,Poulsbo,53035090201,WA,POINT (-122.64681 47.73689)
C-MAX,1FADP5CU4G,Kitsap,Seabeck,53035092000,WA,POINT (-122.81585 47.64509)
Q5,WA1G2AFY9N,King,Renton,53033025202,WA,POINT (-122.18839 47.51197)
MODEL X,5YJXCAE25L,Yakima,Yakima,53077001100,WA,POINT (-120.51904 46.59782)
X5,5UXTA6C02M,Kitsap,Bainbridge Island,53035090901,WA,POINT (-122.521 47.62759)
MODEL Y,7SAYGDEE2P,Thurston,Olympia,53067011100,WA,POINT (-122.92018 47.04575)
PACIFICA,2C4RC1S73S,Thurston,Olympia,53067012330,WA,POINT (-122.80933 46.99531)
MODEL 3,5YJ3E1EA3K,Snohomish,Everett,53061041601,WA,POINT (-122.18637 47.89251)
VOLT,1G1RD6E40E,Yakima,Yakima,53077001000,WA,POINT (-120.51904 46.59782)
XC90,YV4H60CF6R,Kitsap,Kingston,53035090101,WA,POINT (-122.4977 47.79802)
BOLT EV,1G1FX6S09J,Thurston,Olympia,53067010700,WA,POINT (-122.89165 47.03954)
NIRO,KNDCR3L19S,Snohomish,Bothell,53061052009,WA,POINT (-122.20105 47.84423)
XC90,YV4BR0CM8N,Kitsap,Poulsbo,53035090502,WA,POINT (-122.64681 47.73689)
LEAF,1N4BZ0CP8G,Snohomish,Bothell,53061051937,WA,POINT (-122.18384 47.8031)
BOLT EV,1G1FX6S05H,Thurston,Olympia,53067011100,WA,POINT (-122.92018 47.04575)
I3,WBY1Z2C54E,Kitsap,Bremerton,53035092102,WA,POINT (-122.65223 47.57192)
MODEL 3,5YJ3E1EA2J,Kitsap,Bremerton,53035080700,WA,POINT (-122.65223 47.57192)
EV6,KNDC3DLC1P,Thurston,Lacey,53067011626,WA,POINT (-122.82324 47.04437)
LEAF,1N4BZ0CP1H,King,Seattle,53033011602,WA,POINT (-122.38415 47.53755)
SPORTAGE,KNDPZDDH3T,Kitsap,Bremerton,53035091400,WA,POINT (-122.65223 47.57192)
MODEL 3,5YJ3E1ET1S,Kitsap,Bremerton,53035091301,WA,POINT (-122.65223 47.57192)
LEAF,1N4AZ0CP4D,King,Seattle,53033009802,WA,POINT (-122.41067 47.57894)
NIRO,KNDCM3LD4K,Thurston,Olympia,53067012223,WA,POINT (-122.87741 47.05997)
MODEL X,7SAXCBE67P,Yakima,Yakima,53077001602,WA,POINT (-120.50729 46.60464)
LEAF,1N4AZ0CP0F,Snohomish,Bothell,53061051932,WA,POINT (-122.18384 47.8031)
MODEL 3,5YJ3E1EC2L,Thurston,Lacey,53067011421,WA,POINT (-122.82324 47.04437)
500,3C3CFFGE9H,King,Bellevue,53033023100,WA,POINT (-122.11867 47.63131)
LEAF,1N4AZ0CP6F,Kitsap,Port Orchard,53035092901,WA,POINT (-122.68516 47.50645)
MODEL 3,5YJ3E1EA4J,Yakima,Selah,53077003100,WA,POINT (-120.53145 46.65405)
MODEL X,5YJXCBE2XH,Yakima,Yakima,53077000800,WA,POINT (-120.51904 46.59782)
MODEL 3,5YJ3E1EBXK,Kitsap,Bremerton,53035091800,WA,POINT (-122.61136 47.5752)
WRANGLER,1C4JJXP61P,Thurston,Olympia,53067011902,WA,POINT (-122.92018 47.04575)
MODEL 3,5YJ3E1EA8J,King,Seattle,53033003000,WA,POINT (-122.38418 47.70044)
WRANGLER,1C4JJXP68P,Yakima,Yakima,53077000700,WA,POINT (-120.51904 46.59782)
FUSION,3FA6P0PU5G,Grant,Soap Lake,53025010300,WA,POINT (-119.48323 47.38898)
SOLTERRA,JTMABABA9R,Yakima,Yakima,53077000401,WA,POINT (-120.60272 46.59656)
BOLT EV,1G1FX6S05H,Thurston,Olympia,53067011628,WA,POINT (-122.82324 47.04437)
NX,JTJKKCFZ7T,Thurston,Rochester,53067012720,WA,POINT (-123.08743 46.82175)
XC90,YV4BR0PLXJ,Kitsap,Bainbridge Island,53035090700,WA,POINT (-122.521 47.62759)
WRANGLER,1C4RJXP64R,Thurston,Yelm,53067012412,WA,POINT (-122.60735 46.94239)
XC90,YV4H60JB0S,Snohomish,Mill Creek,53061052005,WA,POINT (-122.20105 47.84423)
EV6,KNDC3DLC1P,Skagit,Bellingham,53057950803,WA,POINT (-122.45486 48.7449)
LEAF,1N4BZ0CP5G,King,Seattle,53033010502,WA,POINT (-122.38415 47.53755)
LEAF,JN1AZ0CP0B,Whitman,Pullman,53075000602,WA,POINT (-117.18147 46.73015)
WRANGLER,1C4RJXN63R,Walla Walla,Walla Walla,53071920901,WA,POINT (-118.34261 46.07068)
EQ FORTWO,WMEFJ9BA9J,Snohomish,Mountlake Terrace,53061051301,WA,POINT (-122.31111 47.78803)
FUSION,3FA6P0PU6J,Yakima,Wapato,53077940001,WA,POINT (-120.42083 46.44779)
MODEL 3,5YJ3E1EB7J,Snohomish,Snohomish,53061052401,WA,POINT (-122.09305 47.91265)
MODEL 3,5YJ3E1EB4L,Snohomish,Mukilteo,53061041301,WA,POINT (-122.29196 47.89908)
CAYENNE,WP1AE2AYXT,Kitsap,Bremerton,53035080900,WA,POINT (-122.65223 47.57192)
LEAF,1N4BZ0CP1G,King,Redmond,53033032324,WA,POINT (-122.13158 47.67858)
MODEL 3,5YJ3E1EB4K,Thurston,Olympia,53067012225,WA,POINT (-122.78598 47.08476)
500,3C3CFFGEXF,Snohomish,Lake Stevens,53061052706,WA,POINT (-122.06402 48.01497)
LEAF,1N4AZ1CP9L,Thurston,Lacey,53067011200,WA,POINT (-122.82324 47.04437)
BOLT EV,1G1FW6S05H,Columbia,Dayton,53013960200,WA,POINT (-117.97577 46.32189)
LEAF,1N4AZ0CP7D,Walla Walla,College Place,53071920301,WA,POINT (-118.38864 46.03456)
X5,5UXTA6C01M,Thurston,Olympia,53067012100,WA,POINT (-122.87741 47.05997)
MODEL 3,5YJ3E1EB5J,Yakima,Yakima,53077000401,WA,POINT (-120.60272 46.59656)
MODEL X,5YJXCDE27H,Thurston,Olympia,53067011722,WA,POINT (-122.89165 47.03954)
MODEL S,5YJSA1E23G,Kitsap,Port Orchard,53035092101,WA,POINT (-122.68516 47.50645)
WRANGLER,1C4JJXN63P,Thurston,Lacey,53067011623,WA,POINT (-122.80933 46.99531)
EV6,KNDC3DLC6N,Chelan,Chelan,53007960301,WA,POINT (-120.01454 47.83985)
MODEL S,5YJSA1E28G,Thurston,Olympia,53067012221,WA,POINT (-122.78598 47.08476)
LEAF,1N4AZ1BP1L,Kitsap,Poulsbo,53035090201,WA,POINT (-122.64681 47.73689)
MODEL Y,5YJYGDEE4M,Yakima,Tieton,53077002900,WA,POINT (-120.69972 46.7309)
I4,WBY83FB07R,Yakima,Union Gap,53077001400,WA,POINT (-120.71847 46.55029)
LEAF,1N4AZ0CP0D,Walla Walla,Walla Walla,53071920200,WA,POINT (-118.34261 46.07068)
NIRO,KNDCC3LG1K,King,Seattle,53033010102,WA,POINT (-122.28083 47.54693)
EV6,KNDC4DLC6R,Snohomish,Lake Stevens,53061052505,WA,POINT (-122.06402 48.01497)
MODEL 3,5YJ3E1EB4P,Yakima,Yakima,53077002804,WA,POINT (-120.60272 46.59656)
PACIFICA,2C4RC1L7XJ,Kitsap,Kingston,53035090102,WA,POINT (-122.4977 47.79802)
MODEL X,5YJXCDE2XL,King,Issaquah,53033025006,WA,POINT (-122.03439 47.5301)
VOLT,1G1RE6E43E,Yakima,Yakima,53077000903,WA,POINT (-120.60272 46.59656)
PRIUS PRIME (PHEV),JTDACACU8S,Thurston,Lacey,53067011422,WA,POINT (-122.82324 47.04437)
C-MAX,1FADP5CU8D,King,Seattle,53033007902,WA,POINT (-122.31009 47.60803)
MODEL 3,5YJ3E1EA8L,Snohomish,Everett,53061041701,WA,POINT (-122.18637 47.89251)
MODEL 3,5YJ3E1EB1N,Snohomish,Monroe,53061052203,WA,POINT (-121.98087 47.8526)
C-MAX,1FADP5CU2F,Thurston,Olympia,53067011627,WA,POINT (-122.82324 47.04437)
MODEL 3,5YJ3E1EB2J,Snohomish,Lynnwood,53061051802,WA,POINT (-122.27734 47.83785)
LEAF,1N4AZ1CP6J,Snohomish,Mill Creek,53061052004,WA,POINT (-122.20105 47.84423)
VOLT,1G1RE6E42E,Chelan,Entiat,53007960100,WA,POINT (-120.20831 47.67562)
LEAF,1N4AZ0CP0G,King,Seattle,53033004800,WA,POINT (-122.38591 47.67597)
MODEL 3,5YJ3E1EA1J,Snohomish,Mill Creek,53061052008,WA,POINT (-122.20105 47.84423)
MODEL 3,5YJ3E1EA9J,Snohomish,Marysville,53061940002,WA,POINT (-122.17138 48.10433)
MODEL 3,5YJ3E1EBXL,Kitsap,Bremerton,53035080102,WA,POINT (-122.61136 47.5752)
MODEL S,5YJSA1E23G,Thurston,Olympia,53067011902,WA,POINT (-122.92018 47.04575)
MODEL 3,5YJ3E1EA2J,King,Seattle,53033010702,WA,POINT (-122.36893 47.54701)
VOLT,1G1RD6E49D,Thurston,Rochester,53067012730,WA,POINT (-123.08743 46.82175)
CLARITY,JHMZC5F1XJ,Thurston,Olympia,53067011902,WA,POINT (-122.92018 47.04575)
X5,5UXTA6C09N,Spokane,Spokane,53063003500,WA,POINT (-117.41162 47.65726)
CYBERTRUCK,7G2CEHED8R,Snohomish,Bothell,53061051938,WA,POINT (-122.18384 47.8031)
ESCAPE,1FMCU0E13R,Kitsap,Bremerton,53035091900,WA,POINT (-122.61158 47.62691)
I3,WBY1Z2C53E,King,Seattle,53033003500,WA,POINT (-122.35436 47.67596)
MODEL 3,5YJ3E1EB0J,Whitman,Pullman,53075000601,WA,POINT (-117.18147 46.73015)
I3,WBY8P6C02L,Island,Langley,53029972000,WA,POINT (-122.40618 48.0399)
MODEL Y,5YJYGDEE3L,Kitsap,Silverdale,53035091302,WA,POINT (-122.69275 47.65171)
R1T,7FCTGCAA6T,Yakima,Yakima,53077000402,WA,POINT (-120.60272 46.59656)
LEAF,1N4AZ0CP9E,Snohomish,Everett,53061041202,WA,POINT (-122.23019 47.94949)
XC60,YV4BR0DM9M,Kitsap,Poulsbo,53035091100,WA,POINT (-122.64681 47.73689)
SOUL,KNDJX3AE4G,Snohomish,Everett,53061041100,WA,POINT (-122.23019 47.94949)
CLARITY,JHMZC5F11L,Kitsap,Bainbridge Island,53035090700,WA,POINT (-122.521 47.62759)
MODEL S,5YJSA1E20L,Skagit,Mount Vernon,53057952700,WA,POINT (-122.32295 48.4152)
MODEL S,5YJSA1E24L,Snohomish,Lake Stevens,53061052709,WA,POINT (-122.06402 48.01497)
E-TRON,WA1AAAGE2M,Snohomish,Mukilteo,53061042006,WA,POINT (-122.29196 47.89908)
MODEL 3,5YJ3E1EA4J,Snohomish,Lynnwood,53061051602,WA,POINT (-122.27734 47.83785)
MODEL 3,5YJ3E1EA5L,King,Bellevue,53033023500,WA,POINT (-122.1621 47.64441)
VOLT,1G1RA6S54H,Skagit,Burlington,53057951900,WA,POINT (-122.33029 48.46846)
MODEL 3,5YJ3E1EB5J,Yakima,Yakima,53077002804,WA,POINT (-120.60272 46.59656)
MODEL 3,5YJ3E1EB2L,Snohomish,Lynnwood,53061051601,WA,POINT (-122.27734 47.83785)
X5,5UXTA6C05N,Kittitas,Cle Elum,53037975101,WA,POINT (-120.93943 47.195)
PACIFICA,2C4RC1L78P,Yakima,Zillah,53077002201,WA,POINT (-120.26226 46.40199)
C-MAX,1FADP5CU7D,Whitman,Pullman,53075000602,WA,POINT (-117.18147 46.73015)
MODEL 3,5YJ3E1EA8L,Snohomish,Snohomish,53061052502,WA,POINT (-122.09305 47.91265)
MODEL 3,5YJ3E1EB6J,King,Redmond,53033032313,WA,POINT (-122.13158 47.67858)
BOLT EV,1G1FY6S06K,Yakima,Naches,53077003004,WA,POINT (-120.69972 46.7309)
OUTLANDER,JA4T5WA99S,Stevens,Kettle Falls,53065950101,WA,POINT (-118.06211 48.61053)
WRANGLER,1C4RJXN6XR,Island,Oak Harbor,53029970100,WA,POINT (-122.64682 48.29077)
GLC-CLASS,WDC0G5EB2J,Yakima,Yakima,53077001000,WA,POINT (-120.51904 46.59782)
SOUL,KNDJX3AE4H,Snohomish,Everett,53061041701,WA,POINT (-122.18637 47.89251)
CORSAIR,5LMTJ5DZ6S,Yakima,Yakima,53077002801,WA,POINT (-120.71847 46.55029)
OUTLANDER,JA4J24A57J,Yakima,Yakima,53077000800,WA,POINT (-120.51904 46.59782)
C-MAX,1FADP5CUXE,Thurston,Yelm,53067012422,WA,POINT (-122.60735 46.94239)
LEAF,JN1AZ0CP0C,Spokane,Spokane,53063004200,WA,POINT (-117.39322 47.63374)
C40,YV4ED3GM6P,Thurston,Olympia,53067012002,WA,POINT (-122.92018 47.04575)
500,3C3CFFGE6H,King,Redmond,53033032313,WA,POINT (-122.13158 47.67858)
X5,5UX43EU08T,Yakima,Yakima,53077000800,WA,POINT (-120.60272 46.59656)
